primary_sponsor_std,year,rd_spend_usd_bn,revenue_usd_bn,approvals,approvals_per_bn_rd
GSK,2024,5.61,31.18,0.0,0.0
GSK,2025,5.88,32.68,0.0,0.0
GSK,2026,6.12,33.98,0.0,0.0
AstraZeneca,2010,6.02,33.46,0.0,0.0
AstraZeneca,2011,5.69,31.63,1.0,0.176
AstraZeneca,2012,5.26,29.22,1.0,0.19
AstraZeneca,2013,5.05,28.06,3.0,0.594
AstraZeneca,2014,4.99,27.7,1.0,0.2
AstraZeneca,2015,4.35,24.14,4.0,0.92
AstraZeneca,2016,4.45,24.7,0.0,0.0
AstraZeneca,2017,4.19,23.3,2.0,0.477
AstraZeneca,2018,4.09,22.72,5.0,1.222
AstraZeneca,2019,4.24,23.55,1.0,0.236
AstraZeneca,2020,4.83,26.81,0.0,0.0
AstraZeneca,2021,6.33,35.19,0.0,0.0
AstraZeneca,2022,7.93,44.07,2.0,0.252
AstraZeneca,2023,8.62,47.87,1.0,0.116
AstraZeneca,2024,9.67,53.72,3.0,0.31
AstraZeneca,2025,10.54,58.57,2.0,0.19
AstraZeneca,2026,10.59,58.82,0.0,0.0
Bristol-Myers Squibb,2010,3.7,20.54,0.0,0.0
Bristol-Myers Squibb,2011,3.5,19.42,5.0,1.429
Bristol-Myers Squibb,2012,3.3,18.31,2.0,0.606
Bristol-Myers Squibb,2013,3.16,17.58,0.0,0.0
Bristol-Myers Squibb,2014,3.15,17.48,2.0,0.635
Bristol-Myers Squibb,2015,3.1,17.2,1.0,0.323
Bristol-Myers Squibb,2016,3.53,19.6,1.0,0.283
Bristol-Myers Squibb,2017,3.8,21.12,0.0,0.0
Bristol-Myers Squibb,2018,4.08,22.65,5.0,1.225
Bristol-Myers Squibb,2019,6.04,33.53,1.0,0.166
Bristol-Myers Squibb,2020,7.83,43.51,1.0,0.128
Bristol-Myers Squibb,2021,8.27,45.94,3.0,0.363
Bristol-Myers Squibb,2022,8.78,48.79,1.0,0.114
Bristol-Myers Squibb,2023,7.73,42.93,3.0,0.388
Bristol-Myers Squibb,2024,8.39,46.63,1.0,0.119
Bristol-Myers Squibb,2025,9.26,51.43,0.0,0.0
Bristol-Myers Squibb,2026,8.81,48.96,0.0,0.0
Eli Lilly,2010,4.16,23.12,1.0,0.24
Eli Lilly,2011,3.96,22.01,1.0,0.253
Eli Lilly,2012,4.07,22.59,3.0,0.737
Eli Lilly,2013,3.56,19.77,0.0,0.0
Eli Lilly,2014,3.71,20.58,1.0,0.27
Eli Lilly,2015,3.76,20.89,1.0,0.266
Eli Lilly,2016,3.8,21.09,0.0,0.0
Eli Lilly,2017,3.95,21.97,1.0,0.253
Eli Lilly,2018,4.48,24.87,2.0,0.446
Eli Lilly,2019,4.34,24.13,2.0,0.461
Eli Lilly,2020,4.55,25.3,2.0,0.44
Eli Lilly,2021,4.8,26.69,1.0,0.208
Eli Lilly,2022,5.0,27.77,3.0,0.6
Eli Lilly,2023,6.11,33.94,1.0,0.164
Eli Lilly,2024,8.35,46.37,5.0,0.599
Eli Lilly,2025,10.76,59.78,1.0,0.093
Eli Lilly,2026,13.2,73.35,0.0,0.0
Novo Nordisk,2010,2.12,11.77,0.0,0.0
Novo Nordisk,2011,2.26,12.56,3.0,1.327
Novo Nordisk,2012,2.48,13.77,1.0,0.403
Novo Nordisk,2013,2.61,14.52,1.0,0.383
Novo Nordisk,2014,2.71,15.05,0.0,0.0
Novo Nordisk,2015,3.02,16.79,1.0,0.331
Novo Nordisk,2016,2.95,16.39,0.0,0.0
Novo Nordisk,2017,2.86,15.88,4.0,1.399
Novo Nordisk,2018,2.92,16.2,5.0,1.712
Novo Nordisk,2019,3.34,18.54,0.0,0.0
Novo Nordisk,2020,3.56,19.76,2.0,0.562
Novo Nordisk,2021,3.79,21.04,3.0,0.792
Novo Nordisk,2022,4.53,25.14,2.0,0.442
Novo Nordisk,2023,6.2,34.42,2.0,0.323
Novo Nordisk,2024,7.75,43.07,2.0,0.258
Novo Nordisk,2025,8.88,49.33,4.0,0.45
Novo Nordisk,2026,9.85,54.7,0.0,0.0
Bayer,2010,5.84,48.68,0.0,0.0
Bayer,2011,5.89,49.08,2.0,0.34
Bayer,2012,5.88,48.97,0.0,0.0
Bayer,2013,5.65,47.06,1.0,0.177
Bayer,2014,5.83,48.57,2.0,0.343
Bayer,2015,6.07,50.56,2.0,0.329
Bayer,2016,5.9,49.14,1.0,0.169
Bayer,2017,5.89,49.11,1.0,0.17
Bayer,2018,5.45,45.41,1.0,0.183
Bayer,2019,5.69,47.38,1.0,0.176
Bayer,2020,5.78,48.13,0.0,0.0
Bayer,2021,5.98,49.85,2.0,0.334
Bayer,2022,6.56,54.7,1.0,0.152
Bayer,2023,5.83,48.54,2.0,0.343
Bayer,2024,5.54,46.14,2.0,0.361
Bayer,2025,5.77,48.11,2.0,0.347
Bayer,2026,6.05,50.38,0.0,0.0
Boehringer Ingelheim,2010,3.1,17.22,1.0,0.323
Boehringer Ingelheim,2011,3.06,17.0,0.0,0.0
Boehringer Ingelheim,2012,3.07,17.08,0.0,0.0
Boehringer Ingelheim,2013,3.1,17.21,0.0,0.0
Boehringer Ingelheim,2014,3.0,16.69,0.0,0.0
Boehringer Ingelheim,2015,3.1,17.24,0.0,0.0
Boehringer Ingelheim,2016,3.43,19.06,0.0,0.0
Boehringer Ingelheim,2017,3.62,20.09,0.0,0.0
Boehringer Ingelheim,2018,4.18,23.22,0.0,0.0
Boehringer Ingelheim,2019,4.01,22.3,0.0,0.0
Boehringer Ingelheim,2020,4.2,23.34,0.0,0.0
Boehringer Ingelheim,2021,4.45,24.7,0.0,0.0
Boehringer Ingelheim,2022,4.78,26.55,0.0,0.0
Boehringer Ingelheim,2023,4.6,25.55,0.0,0.0
Boehringer Ingelheim,2024,4.93,27.37,0.0,0.0
Boehringer Ingelheim,2025,5.38,29.89,0.0,0.0
Boehringer Ingelheim,2026,5.95,33.08,0.0,0.0
Takeda,2010,3.27,18.19,1.0,0.306
Takeda,2011,3.14,17.45,2.0,0.637
Takeda,2012,3.15,17.52,2.0,0.635
Takeda,2013,3.12,17.34,1.0,0.321
Takeda,2014,2.95,16.4,0.0,0.0
Takeda,2015,2.9,16.11,1.0,0.345
Takeda,2016,2.95,16.38,0.0,0.0
Takeda,2017,2.99,16.64,2.0,0.669
Takeda,2018,2.99,16.61,2.0,0.669
Takeda,2019,4.17,23.15,2.0,0.48
Takeda,2020,5.67,31.51,1.0,0.176
Takeda,2021,5.44,30.24,1.0,0.184
Takeda,2022,5.44,30.22,0.0,0.0
Takeda,2023,5.08,28.21,1.0,0.197
Takeda,2024,5.1,28.35,1.0,0.196
Takeda,2025,5.82,32.35,1.0,0.172
Takeda,2026,5.64,31.32,0.0,0.0
Amgen,2010,3.45,13.82,0.0,0.0
Amgen,2011,4.41,17.66,1.0,0.227
Amgen,2012,4.36,17.44,4.0,0.917
Amgen,2013,4.55,18.19,3.0,0.659
Amgen,2014,5.11,20.44,2.0,0.391
Amgen,2015,5.56,22.22,4.0,0.719
Amgen,2016,5.7,22.82,0.0,0.0
Amgen,2017,5.92,23.66,1.0,0.169
Amgen,2018,5.76,23.02,2.0,0.347
Amgen,2019,6.39,25.55,0.0,0.0
Amgen,2020,6.62,26.49,4.0,0.604
Amgen,2021,6.75,27.0,2.0,0.296
Amgen,2022,6.63,26.5,1.0,0.151
Amgen,2023,6.97,27.9,3.0,0.43
Amgen,2024,8.24,32.95,2.0,0.243
Amgen,2025,8.52,34.06,1.0,0.117
Amgen,2026,9.35,37.39,1.0,0.107
Gilead Sciences,2010,1.84,7.35,0.0,0.0
Gilead Sciences,2011,3.05,12.21,1.0,0.328
Gilead Sciences,2012,4.48,17.91,2.0,0.446
Gilead Sciences,2013,5.64,22.55,2.0,0.355
Gilead Sciences,2014,6.96,27.83,3.0,0.431
Gilead Sciences,2015,8.32,33.3,2.0,0.24
Gilead Sciences,2016,7.36,29.44,0.0,0.0
Gilead Sciences,2017,6.46,25.83,1.0,0.155
Gilead Sciences,2018,5.51,22.04,0.0,0.0
Gilead Sciences,2019,5.72,22.88,3.0,0.524
Gilead Sciences,2020,5.95,23.79,2.0,0.336
Gilead Sciences,2021,6.49,25.94,4.0,0.616
Gilead Sciences,2022,6.84,27.34,1.0,0.146
Gilead Sciences,2023,6.96,27.84,1.0,0.144
Gilead Sciences,2024,7.14,28.56,1.0,0.14
Gilead Sciences,2025,7.59,30.35,1.0,0.132
Gilead Sciences,2026,7.42,29.68,1.0,0.135
Vertex Pharmaceuticals,2012,0.38,1.51,4.0,10.526
Vertex Pharmaceuticals,2013,0.34,1.34,1.0,2.941
Vertex Pharmaceuticals,2014,0.3,1.21,1.0,3.333
Vertex Pharmaceuticals,2015,0.25,0.99,0.0,0.0
Vertex Pharmaceuticals,2016,0.39,1.55,0.0,0.0
Vertex Pharmaceuticals,2017,0.58,2.31,4.0,6.897
Vertex Pharmaceuticals,2018,0.77,3.06,3.0,3.896
Vertex Pharmaceuticals,2019,1.11,4.44,3.0,2.703
Vertex Pharmaceuticals,2020,1.56,6.24,4.0,2.564
Vertex Pharmaceuticals,2021,1.82,7.28,1.0,0.549
Vertex Pharmaceuticals,2022,2.35,9.4,1.0,0.426
Vertex Pharmaceuticals,2023,2.38,9.53,4.0,1.681
Vertex Pharmaceuticals,2024,2.71,10.83,1.0,0.369
Vertex Pharmaceuticals,2025,3.08,12.34,1.0,0.325
Vertex Pharmaceuticals,2026,3.43,13.71,0.0,0.0
Regeneron,2010,0.12,0.48,0.0,0.0
Regeneron,2011,0.29,1.17,1.0,3.448
Regeneron,2012,0.49,1.96,0.0,0.0
Regeneron,2013,0.63,2.51,1.0,1.587
Regeneron,2014,0.82,3.27,0.0,0.0
Regeneron,2015,0.98,3.93,0.0,0.0
Regeneron,2016,1.21,4.85,4.0,3.306
Regeneron,2017,1.49,5.96,2.0,1.342
Regeneron,2018,1.64,6.58,1.0,0.61
Regeneron,2019,1.88,7.5,2.0,1.064
Regeneron,2020,2.14,8.57,2.0,0.935
Regeneron,2021,2.62,10.5,1.0,0.382
Regeneron,2022,3.01,12.05,1.0,0.332
Regeneron,2023,3.17,12.7,3.0,0.946
Regeneron,2024,3.73,14.9,5.0,1.34
Regeneron,2025,3.73,14.92,1.0,0.268
Regeneron,2026,3.96,15.85,0.0,0.0
Moderna,2018,0.03,0.14,0.0,0.0
Moderna,2019,0.02,0.06,0.0,0.0
Moderna,2020,0.19,0.76,1.0,5.263
Moderna,2021,4.92,19.68,0.0,0.0
Moderna,2022,4.78,19.11,0.0,0.0
Moderna,2023,1.73,6.93,0.0,0.0
Moderna,2024,0.85,3.42,0.0,0.0
Moderna,2025,1.11,4.44,0.0,0.0
Moderna,2026,1.31,5.26,0.0,0.0
BioNTech,2018,0.03,0.13,0.0,0.0
BioNTech,2019,0.03,0.13,0.0,0.0
BioNTech,2020,0.14,0.57,0.0,0.0
BioNTech,2021,4.49,17.96,0.0,0.0
BioNTech,2022,4.21,16.84,0.0,0.0
BioNTech,2023,0.95,3.79,0.0,0.0
BioNTech,2024,0.69,2.76,0.0,0.0
BioNTech,2025,0.85,3.4,0.0,0.0
BioNTech,2026,1.02,4.1,0.0,0.0
Biogen,2010,1.15,4.6,0.0,0.0
Biogen,2011,1.52,6.07,0.0,0.0
Biogen,2012,1.92,7.67,0.0,0.0
Biogen,2013,2.11,8.46,0.0,0.0
Biogen,2014,2.45,9.82,0.0,0.0
Biogen,2015,2.8,11.21,0.0,0.0
Biogen,2016,2.89,11.55,1.0,0.346
Biogen,2017,3.23,12.9,0.0,0.0
Biogen,2018,3.33,13.32,0.0,0.0
Biogen,2019,3.39,13.58,0.0,0.0
Biogen,2020,3.45,13.79,0.0,0.0
Biogen,2021,2.88,11.51,1.0,0.347
Biogen,2022,2.38,9.51,0.0,0.0
Biogen,2023,2.38,9.53,1.0,0.42
Biogen,2024,2.51,10.03,0.0,0.0
Biogen,2025,2.45,9.79,0.0,0.0
Biogen,2026,2.71,10.84,0.0,0.0
Teva,2010,0.94,15.67,0.0,0.0
Teva,2011,1.0,16.71,0.0,0.0
Teva,2012,1.05,17.53,0.0,0.0
Teva,2013,1.06,17.7,0.0,0.0
Teva,2014,1.13,18.86,0.0,0.0
Teva,2015,1.13,18.8,0.0,0.0
Teva,2016,1.15,19.23,0.0,0.0
Teva,2017,1.15,19.11,0.0,0.0
Teva,2018,1.06,17.65,0.0,0.0
Teva,2019,1.04,17.31,0.0,0.0
Teva,2020,1.01,16.84,0.0,0.0
Teva,2021,0.92,15.27,0.0,0.0
Teva,2022,0.91,15.1,0.0,0.0
Teva,2023,0.96,16.06,0.0,0.0
Teva,2024,1.0,16.64,0.0,0.0
Teva,2025,1.04,17.4,0.0,0.0
Teva,2026,1.0,16.67,0.0,0.0
Sun Pharma,2010,0.09,1.55,0.0,0.0
Sun Pharma,2011,0.12,1.98,0.0,0.0
Sun Pharma,2012,0.16,2.59,0.0,0.0
Sun Pharma,2013,0.2,3.29,0.0,0.0
Sun Pharma,2014,0.22,3.62,0.0,0.0
Sun Pharma,2015,0.25,4.2,0.0,0.0
Sun Pharma,2016,0.24,4.01,0.0,0.0
Sun Pharma,2017,0.26,4.29,0.0,0.0
Sun Pharma,2018,0.23,3.89,0.0,0.0
Sun Pharma,2019,0.26,4.33,0.0,0.0
Sun Pharma,2020,0.28,4.67,0.0,0.0
Sun Pharma,2021,0.3,5.06,0.0,0.0
Sun Pharma,2022,0.33,5.46,0.0,0.0
Sun Pharma,2023,0.35,5.81,0.0,0.0
Sun Pharma,2024,0.38,6.35,0.0,0.0
Sun Pharma,2025,0.46,7.69,0.0,0.0
Sun Pharma,2026,0.48,8.06,0.0,0.0
Hengrui Medicine,2010,0.1,0.55,0.0,0.0
Hengrui Medicine,2011,0.12,0.68,0.0,0.0
Hengrui Medicine,2012,0.15,0.85,0.0,0.0
Hengrui Medicine,2013,0.18,1.0,0.0,0.0
Hengrui Medicine,2014,0.22,1.21,0.0,0.0
Hengrui Medicine,2015,0.23,1.3,0.0,0.0
Hengrui Medicine,2016,0.31,1.7,0.0,0.0
Hengrui Medicine,2017,0.37,2.03,0.0,0.0
Hengrui Medicine,2018,0.44,2.44,0.0,0.0
Hengrui Medicine,2019,0.59,3.3,0.0,0.0
Hengrui Medicine,2020,0.68,3.79,0.0,0.0
Hengrui Medicine,2021,0.65,3.61,0.0,0.0
Hengrui Medicine,2022,0.56,3.09,0.0,0.0
Hengrui Medicine,2023,0.54,3.02,0.0,0.0
Hengrui Medicine,2024,0.62,3.44,0.0,0.0
Hengrui Medicine,2025,0.74,4.11,0.0,0.0
Hengrui Medicine,2026,0.81,4.48,0.0,0.0
Daiichi Sankyo,2010,1.69,9.41,0.0,0.0
Daiichi Sankyo,2011,1.65,9.18,0.0,0.0
Daiichi Sankyo,2012,1.63,9.05,0.0,0.0
Daiichi Sankyo,2013,1.54,8.56,0.0,0.0
Daiichi Sankyo,2014,1.5,8.36,0.0,0.0
Daiichi Sankyo,2015,1.49,8.27,0.0,0.0
Daiichi Sankyo,2016,1.47,8.18,0.0,0.0
Daiichi Sankyo,2017,1.46,8.11,0.0,0.0
Daiichi Sankyo,2018,1.45,8.04,0.0,0.0
Daiichi Sankyo,2019,1.6,8.91,0.0,0.0
Daiichi Sankyo,2020,1.74,9.65,0.0,0.0
Daiichi Sankyo,2021,1.86,10.32,0.0,0.0
Daiichi Sankyo,2022,1.93,10.73,0.0,0.0
Daiichi Sankyo,2023,2.2,12.22,0.0,0.0
Daiichi Sankyo,2024,2.46,13.67,0.0,0.0
Daiichi Sankyo,2025,3.02,16.8,0.0,0.0
Daiichi Sankyo,2026,3.43,19.06,0.0,0.0
Medtronic,2010,1.33,16.65,0.0,0.0
Medtronic,2011,1.48,18.47,0.0,0.0
Medtronic,2012,1.85,23.1,0.0,0.0
Medtronic,2013,1.85,23.1,0.0,0.0
Medtronic,2014,2.07,25.92,0.0,0.0
Medtronic,2015,2.37,29.6,0.0,0.0
Medtronic,2016,2.35,29.34,0.0,0.0
Medtronic,2017,2.38,29.7,0.0,0.0
Medtronic,2018,2.24,28.02,0.0,0.0
Medtronic,2019,2.28,28.45,0.0,0.0
Medtronic,2020,2.31,28.85,0.0,0.0
Medtronic,2021,2.37,29.68,0.0,0.0
Medtronic,2022,2.44,30.45,0.0,0.0
Medtronic,2023,2.45,30.66,0.0,0.0
Medtronic,2024,2.61,32.67,0.0,0.0
Medtronic,2025,2.76,34.44,0.0,0.0
Medtronic,2026,2.65,33.07,0.0,0.0
Abbott Laboratories,2010,4.22,35.19,0.0,0.0
Abbott Laboratories,2011,3.86,32.14,0.0,0.0
Abbott Laboratories,2012,3.54,29.48,0.0,0.0
Abbott Laboratories,2013,3.05,25.46,0.0,0.0
Abbott Laboratories,2014,2.71,22.61,0.0,0.0
Abbott Laboratories,2015,2.54,21.18,0.0,0.0
Abbott Laboratories,2016,2.65,22.08,0.0,0.0
Abbott Laboratories,2017,3.18,26.53,0.0,0.0
Abbott Laboratories,2018,3.63,30.23,0.0,0.0
Abbott Laboratories,2019,3.88,32.3,0.0,0.0
Abbott Laboratories,2020,4.07,33.91,0.0,0.0
Abbott Laboratories,2021,4.77,39.72,0.0,0.0
Abbott Laboratories,2022,5.31,44.21,0.0,0.0
Abbott Laboratories,2023,4.79,39.92,0.0,0.0
Abbott Laboratories,2024,4.94,41.13,0.0,0.0
Abbott Laboratories,2025,5.18,43.16,0.0,0.0
Abbott Laboratories,2026,5.41,45.09,0.0,0.0
Stryker,2010,0.57,7.14,0.0,0.0
Stryker,2011,0.64,7.95,0.0,0.0
Stryker,2012,0.69,8.59,0.0,0.0
Stryker,2013,0.74,9.25,0.0,0.0
Stryker,2014,0.78,9.77,0.0,0.0
Stryker,2015,0.78,9.81,0.0,0.0
Stryker,2016,0.89,11.17,0.0,0.0
Stryker,2017,0.98,12.31,0.0,0.0
Stryker,2018,1.08,13.53,0.0,0.0
Stryker,2019,1.11,13.9,0.0,0.0
Stryker,2020,1.15,14.4,0.0,0.0
Stryker,2021,1.36,16.98,0.0,0.0
Stryker,2022,1.49,18.57,0.0,0.0
Stryker,2023,1.58,19.8,0.0,0.0
Stryker,2024,1.86,23.25,0.0,0.0
Stryker,2025,1.96,24.45,0.0,0.0
Stryker,2026,2.11,26.39,0.0,0.0
Danaher,2010,1.33,13.32,0.0,0.0
Danaher,2011,1.48,14.83,0.0,0.0
Danaher,2012,1.63,16.35,0.0,0.0
Danaher,2013,1.68,16.75,0.0,0.0
Danaher,2014,1.94,19.4,0.0,0.0
Danaher,2015,2.02,20.16,0.0,0.0
Danaher,2016,2.01,20.07,0.0,0.0
Danaher,2017,2.01,20.13,0.0,0.0
Danaher,2018,2.09,20.89,0.0,0.0
Danaher,2019,2.05,20.47,0.0,0.0
Danaher,2020,2.23,22.28,0.0,0.0
Danaher,2021,2.67,26.69,0.0,0.0
Danaher,2022,3.24,32.39,0.0,0.0
Danaher,2023,2.37,23.7,0.0,0.0
Danaher,2024,2.42,24.16,0.0,0.0
Danaher,2025,2.52,25.23,0.0,0.0
Danaher,2026,2.89,28.94,0.0,0.0
